Stock Number,Population Name,Species,Year,Recovery Goal,Goal Type,Goal Type Description,Comments,Last Updated
1558,Upper Cowlitz Fall (Tule) Chinook,Chinook,2010,0,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)","recovery goal now available; 0 provided by Pat Frazier, LCFRB, in SOS comments document, 12/15",
6830,Klickitat Summer and Winter Steelhead,Steelhead,2009,1000,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)","Recovery Plan for the Klickitat River Population of the Middle Columbia River Steelhead DPS, Sept. 2009, NMFS-NWR",
6892,Naches Summer Steelhead,Steelhead,2009,1500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Mid-Columbia Recovery Plan describes as Delisting Threshold (Table 3-3),
6892,Naches Summer Steelhead,Steelhead,2009,1500,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",Mid-Columbia Recovery Plan describes as Short-Term Recovery criterion Table 3-3),
6888,Satus Creek Summer Steelhead,Steelhead,2009,500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Mid-Columbia Recovery Plan describes as Delisting Threshold and Short-term Recovery goal for population's area of Satus Cr. only (Table 3-3),
6888,Satus Creek Summer Steelhead,Steelhead,2009,1000,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",Mid-Columbia Recovery Plan describes as Delisting Threshold and Short-term Recovery goal for population's area of Satus Cr. & mainstem (Table 3-3),
6890,Toppenish Creek Summer Steelhead,Steelhead,2009,250,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Mid-Columbia Recovery Plan describes as Delisting Threshold (Table 3-3),
6890,Toppenish Creek Summer Steelhead,Steelhead,2009,500,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",Mid-Columbia Recovery Plan describes as Short-Term Recovery criterion Table 3-3),
6894,Upper Yakima Summer Steelhead,Steelhead,2009,500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Mid-Columbia Recovery Plan describes as Delisting Threshold (Table 3-3),
6894,Upper Yakima Summer Steelhead,Steelhead,2009,1500,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",Mid-Columbia Recovery Plan describes as Short-Term Recovery criterion Table 3-3),
5500,Ozette Sockeye,Sockeye,2009,31250,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)","Viability Criteria for the Lake Ozette sockeye salmon ESU.  2009.  U.S. Dept. Commer., NOAA Tech. Memo. NMFS-NWFSC-99, 38 p. (Rawson et al.)",
5500,Ozette Sockeye,Sockeye,2009,121000,Recovery - Maximum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in the following way: Population abundance that is the smaller of a habitat-based capacity estimate and estimate from population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.01, and represents the high end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99);","Viability Criteria for the Lake Ozette sockeye salmon ESU.  2009.  U.S. Dept. Commer., NOAA Tech. Memo. NMFS-NWFSC-99, 38 p. (Rawson et al.)",
