Stock Number,Population Name,Species,ESU/DPS Name,Federal Status,Listing Date,Salmon Recovery Region,Recovery Plan,Recovery Plan Year,Hatchery Standards Met,Major Population Grouping,Population Goals,Goal References,Goal Notes,Population History,Stock Definition,Stock Data Description,Stock Spawning Distribution,Stock Genetic Analysis Description,Local Biologist Name,Local Biologist Email,Last Updated
7620,Mid-Willapa Bay Coastal Cutthroat,Cutthroat,Southwest Washington/Columbia River Coastal Cutthroat,Not Warranted,2/25/2010,Washington Coastal,,,,No MPG Specified ,,,,Mid-Willapa Bay coastal cutthroat are native and are sustained by wild production.,"The Mid-Willapa Bay stock complex has been identified as distinct based on the geographic distribution of its spawning grounds. This stock complex consists of coastal cutthroat in the Nemah, Canon, Palix, and Niawiakum rivers which are small tributaries entering the middle portion of Willapa Bay. Coastal cutthroat spawning in these streams have been grouped in the same stock complex based on the proximity of the streams and their habitat similarities.  Coastal cutthroat are present in virtually all perennial tributaries and mainstem reaches of these drainages in one or more of their life history forms. The anadromous form inhabitats mainstem and accessible tributary reaches. Resident forms exist both above anadromous barriers and below them where they mingle with anadromous fish.",,Anadromous fish enter the river from mid-September through April (early and late entry).  Spawning of anadromous and fluvial fish occurs from January through mid-March and from February through March for resident fish.,The number of genetically distinct stocks within the Nemah/Canon/Palix/Niawiakum stock complex and relationship of this complex to other stocks and stock complexes are unknown.   It is possible that all Willapa Bay stocks are closely related.,,,5/6/2015 0:00
7520,Moclips/Copalis Coastal Cutthroat,Cutthroat,Olympic Peninsula Coastal Cutthroat,Not Warranted,4/5/1999,Washington Coastal,,,,No MPG Specified ,,,,Stock origin is native with wild production.,"The Moclips/Copalis coastal cutthroat stock complex is thought to be distinct based upon the geographic distribution of its spawning grounds. Coastal cutthroat in the Moclips and Copalis rivers have been included in the same stock complex due to the proximity of the two streams and their habitat similarities. This stock complex also includes Wreck Creek and Joe Creek cutthroat, as well as those in independent tributaries to the north and south of the Moclips River. These streams represent a transition zone between the large rivers to the north and Grays Harbor to the south. Most of the Moclips River and Wreck Creek are located within the boundaries of the Quinault Indian Nation Reservation.  Cutthroat are present in virtually all perennial tributaries and mainstem reaches of this system in one or more life history forms. The anadromous form inhabits mainstem and accessible tributary reaches, while the resident life history form is found both above and below anadromous barriers overlapping in distribution with anadromous fish.  Anecdotal information from local anglers suggests that the anadromous cutthroat in these streams may enter freshwater earlier than those in Chehalis/Grays Harbor streams to the south. River entry is thought to be nearly year-round, from June through April.",,Spawning by anadromous and fluvial life-history forms occurs January through March. Spawning of the resident form occurs from February through March.,The number of genetically distinct stocks with the Moclips/Copalis stock complex and the relationship of this complex to other stocks and stock complexes is unknown.  No genetic sampling has occurred.,,,5/18/2010 0:00
7640,Naselle/Bear Coastal Cutthroat,Cutthroat,Southwest Washington/Columbia River Coastal Cutthroat,Not Warranted,2/25/2010,Washington Coastal,,,,No MPG Specified ,,,,Naselle/Bear coastal cutthroat are native and are sustained by wild production.,"The Naselle/Bear coastal cutthroat stock complex has been identified as one of four stock complexes within Willapa Bay, based on the geographic distribution of its spawning grounds. The Naselle and Bear rivers enter the southern portion of Willapa Bay. Coastal cutthroat in these streams have been grouped into the same stock complex based on the proximity of the streams and their habitat similarities.  The extensive intertidal environment within Willapa Bay provides ample opportunity for straying. Coastal cutthroat are present in virtually all perennial tributaries and mainstem reaches of these drainages in one or more of their life history forms. The anadromous and fluvial forms inhabitat mainstem and accessible tributary reaches. Resident forms exist both above anadromous barriers and below them where they mingle with anadromous fish.",,"River entry of the anadromous form occurs from mid-September through April (early and late entry), spawning of anadromous and fluvial fish occurs from January through mid-March. Resident fish generally spawn from February through March.","The number of genetically distinct stocks within the Naselle/Bear stock complex and relationship of this complex to other stocks and stock complexes are unknown. It is possible that all Willapa Bay stocks are closely related since habitat characteristics of freshwater and saltwater zones for all streams are very similar.  Further genetic sampling and analysis are needed to make these determinations. Samples for genetic analysis were taken from cutthroat in Alder Creek, in the Naselle drainage, in 1995 as part of a coast-wide genetics survey conducted by Washington, Oregon and the National Marine Fisheries Service.  ",,,5/6/2015 0:00
7420,Nisqually Coastal Cutthroat,Cutthroat,Puget Sound Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,"Relatively few hatchery-origin cutthroat releases have been made into the Nisqually system. Releases of Tokul Creek (north Puget Sound) cutthroat fry have been made in several beaver pond complexes, primarily in the Ohop and Mashel drainages. Beaver Creek (Columbia River) anadromous hatchery cutthroat were released into the Mashel River for 13 years (1965-1978) in an effort to provide a fishery on returning adults.  The average annual release was 6,600 fish.  Most were caught immediately after release in the river, and few actually migrated to Puget Sound to return as adults.  The influence of hatchery-origin cutthroat genes on the Nisqually cutthroat stock complex is thought to be insignificant, and the stock is still considered native, and sustained by wild production.  ","The Nisqually coastal cutthroat stock complex is thought to be distinct based upon the geographic distribution of its spawning grounds. However, the relative proximity of nearly all river mouths in Puget Sound to each other, along with the presence of numerous smaller direct-entry tributaries in between the major systems, makes it likely that some degree of between-system straying occurs, particularly among anadromous fish. Spatial isolation of fluvial, adfluvial, and resident forms is more likely.  Coastal cutthroat are present in virtually all perennial tributaries and mainstem reaches of this system in one or more life-history forms. The anadromous form probably inhabits the lower mainstem and its major tributaries, including Muck Creek, Murray Creek, and Yelm Creek. Middle river tributaries may also contain anadromous cutthroat in lesser numbers.  The fluvial form is present throughout the system. Adfluvial cutthroat are present in several lakes in the Nisqually drainage, including Chambers Lake (Muck Creek), Ohop Lake (Ohop Creek), and Alder Reservoir. The resident form is probably present in all perennial tributaries in the system. ",No surveys conducted due to lack of funds and staff time. Survey conditions during Feb. and March are very poor in Nisqually. Surveys for cutthroat in the Nisqually are a relativley low priority.,"River-entry timing, spawn timing and other biological characteristics are unknown but are thought to be similar to those of other early entry Puget Sound stocks such as those for the Snohomish stock complex. River entry is probably from July through October, typical of larger stream systems with good summer flows. Anadromous spawning is probably from February through May, while fluvial, adfluvial and resident spawning is probably from January through mid-June."," Nisqually coastal cutthroat are represented by several collections from Muck, Big, and Twenty-five Mile creeks and the Nisqually River. All collections within the Nisqually watershed were significantly different from one another and from other South Sound collections. One collection, Muck Creek, appears to share genetic similarities with collections from Northwest Hood Canal.",Riley Freeman,Riley.Freeman@dfw.wa.gov,2/4/2020 0:00
7180,Nooksack Coastal Cutthroat,Cutthroat,Puget Sound Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,"Anadromous cutthroat in the Nooksack are native in origin, and production is wild with no hatchery influence. However, resident fish are of mixed native and non-native origin, with historical cutthroat hatchery releases in some of the lakes. Thus, this complex is designated as having composite production.","Nooksack coastal cutthroat have been identified as a separate stock complex within the North Sound region based on the geographic distribution of their spawning areas.  All four life history forms (anadromous, fluvial, adfluvial, and resident) are present in the Nooksack basin. Anadromous cutthroat occur downstream from Nooksack Falls on the North Fork up to the Middle Fork Bridge on the Middle Fork, and to the RM 31 falls on the South Fork. Most fluvial populations are located upstream of Nooksack Falls on the North Fork and upstream from the Middle Fork Diversion Dam. Adfluvial cutthroat can be found in Maple Creek which flows from Silver Lake on the North Fork. Resident cutthroat exist in many high and low elevation lakes and beaver ponds within the Nooksack watershed as well as in streams.  The anadromous life history form enters the river from salt water from August through October, which is characteristic of early-entry migration timing seen in larger streams.",Currently no staff or resources to monitor this stock.,"Spawning by anadromous fish takes place from January through April. Fluvial, adfluvial and resident cutthroat spawn from January through July.",Nooksack cutthroat are represented in the current genetic analysis with a sample originating from Double Ditch Creek. This collection is significantly different from all other Washington collections.,Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
7980,North Puget Sound Tribs Coastal Cutthroat,Cutthroat,Puget Sound Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,"Some hatchery cutthroat releases may have occurred in the past, but there is no clear record, and no hatchery releases occur presently.  Thus it is assumed that all life history forms of cutthroat in these systems are of native origin with wild production.","The North Puget Sound Tribs Stock complex includes stocks in several small independent tributaries which are important cutthroat-producing waters. These tributaries include, from north to south: Dakota, California, Terrell, Squalicum, Padden, Chuckanut, and Oyster creeks. All of these creeks have anadromous and resident forms. Adfluvial fish are present in Lake Terrell.",Currently no staff or resources to monitor this stock.,"In general, the anadromous cutthroat returning to these watersheds are late-entry fish, arriving November through March and spawning January through April. Adfluvial fish in Lake Terrell spawn from January through May. The resident form also begins spawning in January, but continues through July.",No genetic sampling has been carried out on any North Puget Sound Tribs stocks.,Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
7600,North/Smith Creek/Cedar Coastal Cutthroat,Cutthroat,Southwest Washington/Columbia River Coastal Cutthroat,Not Warranted,2/25/2010,Washington Coastal,,,,No MPG Specified ,,,,Coastal cutthroat in this complex are native and are sustained by wild production.,"The North/Smith Creek/Cedar coastal cutthroat stock complex has been identified as distinct based on the geographic distribution of its spawning grounds. The North River, Smith Creek and Cedar River enter the northern portion of Willapa Bay, the largest estuary on the west coast of the United States. The coastal cutthroat in these streams have been grouped in the same stock complex based on the proximity of the streams and their habitat similarities.  Coastal cutthroat are present in virtually all perennial tributaries and mainstem reaches of these drainages in one or more of their life history forms. The anadromous form inhabits mainstream and accessible tributary reaches. Resident fish exist both above and below anadromous barriers where they mingle with anadromous fish.  River entry runs from mid-September through April (early and late entry).",,Spawning of anadromous forms occurs from January through mid-March and from February through March for the resident fish.,"The number of genetically distinct stocks within the North/Smith Creek/Cedar stock complex and the relationship of this complex to other stocks and stock complexes are unknown. It is possible that all Willapa Bay stocks are closely related. Habitat characteristics of freshwater and saltwater zones for all streams in Willapa Bay are very similar, and the extensive intertidal environment within Willapa Bay provides ample opportunity for straying. One collection from this area has been made for genetic analysis (Redfield Creek) and proved to be genetically distinct from the Chehalis collection. Further sampling and analysis are needed to make more complete determinations of genetic relationships.",,,5/6/2015 0:00
7440,Ozette Coastal Cutthroat,Cutthroat,Olympic Peninsula Coastal Cutthroat,Not Warranted,4/5/1999,Washington Coastal,,,,No MPG Specified ,,,,Coastal cutthroat trout are native to the Ozette River drainage and are sustained by wild production.,"The Ozette coastal cutthroat stock complex has been identified as distinct based on geographic distribution of its spawning grounds. This stock complex includes cutthroat in the Ozette River, Ozette Lake and its 12 tributaries, and in several smaller independent tributaries to the Pacific Ocean. Streams in this area include the Ozette River, Coal Creek, Umbrella Creek, Big River, Crooked Creek, and Siwash Creek.  Life histories of coastal cutthroat in the Ozette drainage are probably similar to those described by June (1981) in Bear Creek, a tributary to the Bogachiel River, located south of the Ozette drainage on the Olympic Peninsula.",,"Spawner distribution is distinct for this stock complex, but specific spawning locations are unknown. Coastal cutthroat probably spawn in the upper reaches of tributaries throughout the drainage. Coastal cutthroat are also found in lowland lakes and beaver ponds in the watershed.  Anadromous cutthroat in Bear Creek spawn from January through March whereas resident cutthroat spawn in April and May (June 1981). For a description of the life history of Bear Creek coastal cutthroat please refer to the Quillayute stock report.","The number of genetically distinct stocks within the Ozette stock complex, and the relationship of this complex to other stocks and stock complexes are unknown. Genetic sampling and analysis are needed to make these determinations.",Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
7400,Puyallup Coastal Cutthroat,Cutthroat,Puget Sound Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,"The origin of this stock complex is native. Few hatchery-reared cutthroat have been stocked in the Puyallup River system, and little hybridization is thought to have occurred between Tokul Creek (north Puget Sound) cutthroat stock hatchery releases made into several lakes and the native stock in the drainage. The Puyallup stock complex is sustained by wild production.","The Puyallup coastal cutthroat stock complex is thought to be distinct based upon the geographic distribution of its spawning grounds. It includes the White River, Carbon River, and South Prairie Creek systems. Although coastal cutthroat in the Puyallup drainage are thought to be distinct, the relative proximity of nearly all river mouths in Puget Sound to each other, along with the presence of numerous smaller direct-entry tributaries in between the major systems, makes it likely that some degree of straying occurs, particularly among anadromous fish. Spatial isolation of fluvial, adfluvial, and resident forms is more likely.  Coastal cutthroat occur in virtually all perennial tributaries and mainstem reaches of this system in one or more life-history forms. The anadromous form inhabits the lower and middle mainstems (Puyallup, Carbon and White rivers) and their major tributaries, including Clarks, Kapowsin, Voights, South Prairie, and Boise creeks. The fluvial form is present throughout the system but in relatively small numbers within the mainstem anadromous zones. Adfluvial cutthroat may be present in Kapowsin Lake and in the Greenwater (Meeker) lakes. The resident form is probably present in all perennial tributaries of the Puyallup system. ",Currently no staff or resources to monitor this stock.,"River entry and spawn timing and other biological characteristics are unknown but are thought to be similar to those of other early-entry Puget Sound stocks, such as those for the Snohomish stock complex. River entry is probably from June through October.  Anadromous spawning is probably from February through May. Fluvial, adfluvial and resident spawning is probably from January through mid-June.","This watershed was represented by one collection, Fennel Creek, in the genetic analysis.  Fennel Creek cutthroat were significantly different from all other South Sound cutthroat.",Tara Livingood,tara.livingood@dfw.wa.gov,1/27/2015 0:00
7540,Queets Coastal Cutthroat,Cutthroat,Olympic Peninsula Coastal Cutthroat,Not Warranted,4/5/1999,Washington Coastal,,,,No MPG Specified ,,,,Coastal cutthroat trout in the Queets River drainage are native and are sustained by wild production.,The Queets coastal cutthroat stock complex has been identified as distinct based on geographic distribution of its spawning grounds. ,Sedell et al. (1984) estimated cutthroat densities during 1981 in the upper Queets River from four major habitat types. The cutthroat densities for each habitat type were: (1) terrace tributaries (0.04 fish per square meter); (2) side channels (0.004 fish per square meter); (3) lower valley-wall tributaries (0.05 fish per square meter); (4) major tributary channels (0.001 fish per square meter).,"Life histories on Queets coastal cutthroat are probably similar to those described by June (1981) in his Bear Creek (Bogachiel River tributary) study, with anadromous river entry in December and January, anadromous spawning from January through March and resident cutthroat spawning in April and May.  Spawning distribution of coastal cutthroat occurs in the upper reaches of tributaries throughout the drainage. Edie (1975) identified the uppermost zone in the basin as the domain of coastal cutthroat. The cutthroat zone in the Clearwater River consists of the headwaters of most tributaries with gradients of 2% to 6% and one to 10 feet wide. The cutthroat zone is infrequently inaccessible to sea-run fish and inhabited mainly by resident cutthroat.","The number of genetically distinct stocks within the Queets stock complex and the relationship of this complex to other stocks and stock complexes are unknown. For genetic analysis Queets cutthroat were represented by three samples, Snahapish River, Manor and Octopus creeks. All three collections were significantly different from one another and from other North Coast cutthroat collections.",Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
7460,Quillayute Coastal Cutthroat,Cutthroat,Olympic Peninsula Coastal Cutthroat,Not Warranted,4/5/1999,Washington Coastal,,,,No MPG Specified ,,,,Cutthroat trout are native to the Quillayute River system and are sustained by wild production.,The Quillayute coastal cutthroat stock complex has been identified as distinct based on the geographic distribution of its spawning grounds. The number of genetically distinct stocks within the Quillayute stock complex and the relationship of this complex to other stocks and stock complexes are unknown. Genetic sampling and analysis are needed to make these determinations. ,"In five study sections in Bear Creek during 1977-78 the average cutthroat density range from 0.016 to 0.195 fry per square meter, 0.052 to 0.255 juveniles per square meter, and 0.008 to 0.027 adults per square meter. The average cutthroat biomass ranged from 0.027 to 0.494 grams of fry per square meter, 0.578 to 1.003 grams of juveniles per square meter, 0.107 to 0.982 grams of adults per square meter.  Fuss (1978) studied coastal cutthroat in other Quillayute tributaries. A Sol Duc River sample had a high percentage of large third-year fish in the fall primarily because a high percentage within the sample had migrated to the sea in their third year. ","Bear Creek anadromous cutthroat migrate upstream in December and January (June 1981). Fish were observed spawning from January through March with peak spawning occurring in February. Anadromous cutthroat spawned in small tributary streams, choosing the tails of pools for most redd sites with water depths of five to ten cm.  Outmigration timing for anadromous cutthroat kelts was generally before the end of April.  Bear Creek resident cutthroat trout spawned in April and May, and the size of redds constructed by resident fish was 50% smaller than that observed for sea-run fish. The observed differences in the timing and spawning of resident and sea-run cutthroat in the Quillayute system would reduce the opportunity for interbreeding and possibly maintain genetic isolation between the life history forms (June 1981). With the exception of sites located by June (1981) in Bear Creek, a tributary to the Bogachiel River, specific spawning locations are unknown. Coastal cutthroat probably spawn in the upper reaches of tributaries throughout the drainage and are also found in lowland lakes and beaver ponds throughout the Quillayute system.","Genetic collections have been analyzed for Cedar and Bear creeks, both Sol Duc tributaries, and for Goodman Creek on the Quillayute River. All collections are significantly different from one another and from other coastal collections.  ",Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
7500,Raft/Quinault Coastal Cutthroat,Cutthroat,Olympic Peninsula Coastal Cutthroat,Not Warranted,4/5/1999,Washington Coastal,,,,No MPG Specified ,,,,Stock origin is native with wild production.,"The Raft/Quinault coastal cutthroat stock complex is thought to be distinct based upon the geographic distribution of its spawning grounds. The Raft River is an independent stream located north of the Quinault River and drains lowlands similar to those drained by north side tributaries of the Quinault River below Lake Quinault. Consequently coastal cutthroat trout in the Raft and Quinault rivers have been grouped into the same stock complex. Anadromous and fluvial cutthroat are found in the mainstems and accessible tributaries as well as in the lake. Adfluvial fish are found in Quinault Lake, located at RM 33 on the Quinault River. Quinault Lake provides the opportunity for adfluvial fish to contribute to the anadromous life history form in this drainage. Resident cutthroat are expected to be found throughout the watershed, above barriers to anadromous fish, in most perennial tributaries.",Currently no staff or resources to monitor this stock.,"Anadromous cutthroat enter the river from October through April (early and later entry), while spawning occurs from January through April. Fluvial and adfluvial fish spawn from January through March and resident fish early January through early April.","The number of genetically distinct stocks within the Raft/Quinault stock complex and the relationship of this complex to other stocks and stock complexes are unknown. Genetic sampling and analysis are needed to make these determinations, however no samples have been collected.",,,1/27/2015 0:00
7880,Salmon Creek Coastal Cutthroat,Cutthroat,Southwest Washington/Columbia River Coastal Cutthroat,Not Warranted,2/25/2010,Lower Columbia River,,,,No MPG Specified ,,,,Salmon Creek coastal cutthroat are considered native and are sustained by composite production.,Salmon Creek coastal cutthroat have been identified as a distinct stock complex based on the geographic distribution of their spawning grounds. Salmon Creek is an independent tributary which enters the Columbia River upstream from the mouth of the Lewis River.  Both anadromous and resident forms of cutthroat trout are present in Salmon Creek.,No data is available for this stock.  No monitoring is conducted by WDFW.,Anadromous coastal cutthroat enter the river from July through December and spawn from December through June. Resident fish spawn from February through June.,"Hatchery-origin anadromous cutthroat have been released into Salmon Creek at least since 1952. The extent of hybridization, if any, between them and native cutthroat is unknown. No genetic sampling has been conducted on Salmon Creek cutthroat.",Todd Hillson,Todd.Hillson@dfw.wa.gov,8/30/2018 0:00
7300,Samish Coastal Cutthroat,Cutthroat,Puget Sound Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,"Samish cutthroat are considered to be native, and are maintained through wild production.","Samish coastal cutthroat have been identified as a separate stock complex based on the geographic distribution of their spawning grounds.  Anadromous and resident life history forms are present in the Samish River drainage.  Adfluvial forms are also thought to exist in the system, using Samish Lake for adult habitat.",Currently no staff or resources to monitor this stock.,"Anadromous cutthroat enter the river from August through October (early-entry migration timing) and spawn from January through April, while adfluvial and resident fish spawn from January through May.",No genetic sampling of coastal cutthroat within the Samish basin has been conducted.,Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
7320,Skagit Coastal Cutthroat,Cutthroat,Puget Sound Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,"All life history forms are considered native in origin, and production is wild.","Skagit coastal cutthroat have been identified as a separate stock complex based on the geographic distribution of their spawning grounds. All life-history forms of cutthroat are found within the system. The anadromous form is found in most mainstem and some tributary waters where passage to salt water is accessible. The adfluvial form can be found in waters of Baker Lake and Lake Shannon, as well as Ross Lake and its tributaries.  The anadromous form is an early-entry type, entering the mouth of Skagit River from July through November.","Stream population work done by WDG in 1977 and 1978 showed that anadromous cutthroat fry were most numerous in the lower tributaries of the Sauk River and north bank tributaries below the Sauk. This distribution also is consistent with angler data, where most cutthroat were caught below the mouth of the Sauk.  A juvenile abundance study was conducted 1977 through 1979 on 14 Skagit tributaries (Freymond 1980).  Index areas were electroshocked to obtain densities of coho and steelhead, but cutthroat trout were also recorded. For one-year-old fish and older, the average densities for all sample sites for each year were: 1977--0.07 fish per square meter, 1978--0.05 fish per square meter, 1979--0.07 fish per square meter.","Spawning occurs from January through April. Adfluvial fish spawn from June to mid-August while resident fish spawn from January though May. Little is know about the saltwater movements of the anadromous form, but it is believed that they are distributed in Skagit Bay, along the shores of Camano and Hope islands and in Swinomish Slough.","Genetically, Skagit cutthroat are represented by collections from a number of tributaries, including Alder, Red Cabin, Walker, Wiseman, Bulson, Lake, and Parker creeks. Each of these collections is genetically distinct from the others and from all other Washington cutthroat collections.",Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
7360,Snohomish Coastal Cutthroat,Cutthroat,Puget Sound Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,"In some areas of the basin there has been an extensive history of hatchery cutthroat stocking in waters containing fluvial populations (e.g., South Fork Snoqualmie). In other areas there has been little or no stocking (e.g., upper South Fork Tolt).  Consequently there are stream reaches with native fluvial populations while others have non-native fish or mixtures of native and non-native fish.  Many of the resident populations are native though some may reflect the stocking history of the fluvial or adfluvial fish where they co-mingle with those life history forms.  Production today is strictly of wild origin.","The Snohomish coastal cutthroat stock complex has been identified as distinct based on the geographic distribution of its spawning grounds. Coastal cutthroat are found throughout the various reaches of the Snohomish basin including the mainstem Snohomish, Snoqualmie, and Skykomish rivers and nearly all of their tributaries.  All life-history forms (anadromous, fluvial, adfluvial and resident) are present in the Snohomish basin. The anadromous life-history form is found in most perennial streams and in some intermittent streams throughout the anadromous reaches of the system. In the Snohomish, the major anadromous cutthroat producers are Quilceda Creek and the Pilchuck River basin up to and including Worthy Creek. Nearly all of the anadromous cutthroat in the Skykomish portion of the basin are found downstream from the town of Goldbar. Major Skykomish cutthroat producers are Woods Creek and the Wallace River drainage.  Anadromous cutthroat are found in nearly all the tributaries of the Snoqualmie River to Snoqualmie Falls. Major Snoqualmie producers include Cherry Creek, Stossel Creek and Raging River.  The fluvial life history form is found in the larger rivers above the anadromous reaches.  There are limited numbers of fluvial cutthroat in the Snohomish and Skykomish portions of the basin but large numbers in the Snoqualmie portion. In the forks of the Snoqualmie, (Middle, North and South forks) and the upper forks of the Tolt, there are nearly 100 miles of stream supporting fluvial cutthroat. Some fluvial cutthroat may also be found in other scattered areas of the basin.  The adfluvial life history form is found in a number of lakes within the Snohomish basin. They are found in two reservoirs, the South Fork Tolt Water Supply Reservoir and Spada Lake on the Sultan River. They are also found in a number of lowland lakes including Bridges, Boyle, Klaus, Flowing, Storm, Panther and Stevens lakes and in a number of small ponds and sloughs as well as in some alpine or near-alpine lakes (e.g., Hancock and Calligan lakes).  The small-sized resident life history forms are found throughout the basin generally occupying the smaller streams often found in conjunction with one or more of the other three larger life history forms. Because many of the beaver ponds are small in size, we believe that cutthroat inhabiting these areas are most likely resident fish, although the presence of adfluvial, fluvial or anadromous fish is also possible.","Angler creel checks have been conducted in the past, but they offer little information regarding abundance.  Likewise, electroshocking has also been conducted on various tributaries, but at best, provides only presence/absence information (DeShazo, 1980).  ","River entry is from July through October (early-entry timing), and anadromous spawning is from early February through May.  Fluvial spawning occurs from January through mid-June.  Adfluvial spawning is from January through mid-June.",No cutthroat genetic samples were collected from this system.,Peter Verhey,Peter.Verhey@dfw.wa.gov,5/18/2010 0:00
7100,Sumas Coastal Cutthroat,Cutthroat,Puget Sound Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,Anadromous cutthroat in the Sumas as well as the resident form are present and are considered to be native. Both life history forms are sustained by wild production.,"Sumas coastal cutthroat have been identified as a distinct stock complex based on the geographic distribution of their spawning grounds. The Sumas River is part of the Fraser River (British Columbia) system, however cutthroat spawning does occur within the portion of the river which originates in Washington State.",Currently no staff or resources to monitor this stock.,"Spawn timing information is available only for the anadromous life history form. River entry from salt water occurs from August through October (early-entry migration timing), and spawning takes place from January through April.",,Andrew Fowler,Andrew.Fowler@dfw.wa.gov,7/27/2020 0:00
7960,West Hood Canal Coastal Cutthroat,Cutthroat,Puget Sound Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,Coastal cutthroat in this stock complex are native and sustained by wild production.,"The West Hood Canal coastal cutthroat stock complex has been identified as distinct based on geographic distribution of its spawning grounds. This stock complex is composed of coastal cutthroat trout in drainages flowing into Hood Canal from the northeastern part of the Olympic Peninsula south to the Skokomish River.  Since anadromous cutthroat do not generally cross deep bodies of water, but follow shoreline areas, the West Hood Canal stock complex has been separated from the East Hood Canal stock complex. Anadromous and resident life history forms are present in the West Hood Canal stock complex. We do not know if fluvial or adfluvial forms of coastal cutthroat are also present in this stock.",,"Specific spawn timing is unknown, but is probably from January through April for all West Hood Canal life history forms.","There is some information that suggests coastal cutthroat in Hood Canal are genetically distinct. Campton (1981) and Campton and Utter (1987) concluded that anadromous cutthroat inhabiting the Hood Canal and north Puget Sound regions represent two geneticallydiverged stock complexes which probably reflects a long-term absence of gene flow between these two regions of Puget Sound. In the West Hood Canal stock complex, coastal cutthroat samples have recently been collected for genetic analysis from Fulton, Howe, Tarboo, East Tarboo, Thorndyke, and Shine creeks. Samples from Thorndyke and Shine creeks were used for allozyme analysis and were genetically distinct from each other and from samples collected from the East Hood Canal stock complex; the rest were taken for DNA analysis.",Mark Downen,Mark.Downen@dfw.wa.gov,9/7/2010 0:00
7020,West South Sound Coastal Cutthroat,Cutthroat,Puget Sound Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,"Hatchery-origin cutthroat were released in the Deschutes River and McAllister Creek for several years. Interbreeding between hatchery and wild cutthroat is thought to have been unlikely because of high catch rates on hatchery fish and poor survival of hatchery-origin fish in the wild. Consequently, Western South Sound coastal cutthroat are considered native. The stock is maintained by wild production.","The Western South Sound coastal cutthroat stock complex is thought to be distinct from other South Sound stocks based upon the later timing of freshwater entry exhibited by its anadromous component and its distribution in the small to medium-sized independent streams of south and western Puget Sound. The anadromous life history form is likely to be found in most of these systems, but presence and distribution in freshwater may be quite seasonal because of summer and fall low flows. It is expected that these fish are late-entry. The fluvial form probably inhabits all of the medium-sized streams, and the adfluvial form may be present in as many as 12 lakes within the range of this stock complex. The resident form of this stock complex is present in virtually all perennial independent streams in western South Puget Sound.","In 2006, the spawner estimate is a peak live + dead count in the Skookum Creek (14.0020) index area (RM 6.5-7.5).  In 2007, the spawner estimate is redd based (one redd = 2 adult spawners) from surveys in the Skookum Creek index area (RM 6.5-7.5). In 2008, the estimate is redd based from surveys in the Skookum Creek index area (RM 6.5-7.5) and the Little Creek index area (RM 0-.4).",,"Genetic collections from this region include Kennedy, John`s, and Burley creeks which are significantly different from one another and from other South Sound collections.",Riley Freeman,Riley.Freeman@dfw.wa.gov,2/4/2020 0:00
7060,West Strait of Juan de Fuca Coastal Cutthroat,Cutthroat,Olympic Peninsula Coastal Cutthroat,Not Warranted,4/5/1999,Puget Sound,,,,No MPG Specified ,,,,Coastal cutthroat in this stock complex are native and sustained by natural production.,"The Western Strait coastal cutthroat stock complex has been identified as distinct based on the geographic distribution of its spawning grounds. This stock complex is composed of coastal cutthroat trout in drainages flowing north into the western Strait of Juan de Fuca (from the Pysht River west to Cape Flattery). Drainages include the Pysht, Clallam, Hoko, Sekiu, and Sail rivers and Falls, Olsen, Jansen, Rasmussen, Bullman, Snow, Agency, Village, Classet, Middle, and Beach creeks, and unnamed independent tributaries.  We know that anadromous and resident life history forms are present in the Western Strait stock complex. Resident cutthroat are likely present upstream of most barriers to anadromous fish. It is unknown whether there are fluvial or adfluvial forms of coastal cutthroat in this stock complex.  Anadromous coastal cutthroat in the Western Strait stock complex are predominantly late entry.",,Specific spawn timing is unknown but is probably from January through April for all life history forms in most western Strait drainages.,"During 1995, coastal cutthroat samples were collected for genetic analysis from Bear Creek, a Hoko River tributary.",Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
